id,documents,time,max_df,terms,date
1,10000,147871,35,36445,"2015-04-09 14:14:21"
2,10000,144280,65,36445,"2015-04-09 14:34:25"
3,10000,148599,95,36445,"2015-04-09 14:54:05"
4,20000,174632,35,53069,"2015-04-09 15:13:56"
5,20000,178864,65,53069,"2015-04-09 15:37:50"
6,20000,174941,95,53069,"2015-04-09 15:56:23"
7,30000,191771,35,70344,"2015-04-09 16:15:59"
8,30000,195492,35,70344,"2015-04-13 20:47:29"
9,30000,189327,65,70344,"2015-04-13 21:14:01"
10,30000,190016,95,70344,"2015-04-13 21:37:59"
11,40000,209274,35,82917,"2015-04-13 22:10:24"
12,40000,208908,65,82917,"2015-04-13 23:05:43"
13,40000,212801,95,82917,"2015-04-13 23:41:40"
14,50000,230314,35,97429,"2015-04-14 00:18:06"
15,50000,227948,65,97429,"2015-04-14 01:13:49"
16,50000,234407,95,97429,"2015-04-14 01:57:17"
17,60000,254964,35,112227,"2015-04-14 02:38:35"
18,60000,253512,65,112227,"2015-04-14 04:07:00"
19,60000,249407,95,112227,"2015-04-14 04:58:41"
20,70000,264644,35,124463,"2015-04-14 05:56:04"
21,70000,266674,65,124463,"2015-04-14 07:33:40"
22,70000,272604,95,124463,"2015-04-14 08:11:46"
23,80000,284326,35,135221,"2015-04-14 09:21:55"
24,80000,293528,65,135221,"2015-04-14 10:15:56"
25,80000,295054,95,135221,"2015-04-14 11:08:44"
26,90000,317888,35,145251,"2015-04-14 12:06:17"
27,90000,338046,65,145251,"2015-04-14 13:49:53"
28,90000,317096,95,145251,"2015-04-14 15:27:34"
29,100000,337988,35,152637,"2015-04-14 16:53:13"
30,100000,343734,65,152637,"2015-04-14 18:32:00"
31,100000,344395,95,152637,"2015-04-14 20:12:18"
32,110000,363693,35,159598,"2015-04-14 21:28:15"
33,110000,362632,65,159598,"2015-04-14 23:42:37"
34,110000,360694,95,159598,"2015-04-15 01:50:16"
35,120000,373681,35,167108,"2015-04-15 03:46:57"
36,120000,373196,65,167108,"2015-04-15 06:22:48"
37,120000,384585,95,167108,"2015-04-15 08:02:34"
38,130000,374885,35,175307,"2015-04-15 10:31:46"
39,130000,389644,65,175307,"2015-04-15 13:04:09"
40,130000,393149,95,175307,"2015-04-15 15:30:42"
41,140000,409424,35,183089,"2015-04-15 17:33:02"
42,140000,408943,65,183089,"2015-04-15 20:01:39"
43,140000,409668,95,183089,"2015-04-15 21:52:27"
44,150000,432922,35,190102,"2015-04-16 00:36:54"
45,150000,434491,65,190102,"2015-04-16 02:38:11"
46,150000,431400,95,190102,"2015-04-16 04:39:52"
47,160000,441607,35,198795,"2015-04-16 06:45:37"
