k,documents,minDF,time
5,200,160,37.4546420574
10,200,160,40.2749829292
15,200,160,40.4895758629
20,200,160,39.8552398682
5,200,110,38.1440241337
10,200,110,37.1156840324
15,200,110,38.379554987
20,200,110,38.3259570599
5,200,60,39.1147449017
10,200,60,38.671859026
15,200,60,38.062623024
20,200,60,40.5617368221
5,200,10,41.1442980766
10,200,10,42.2244250774
15,200,10,41.0494918823
20,200,10,42.0503020287
5,20200,160,89.8491828442
10,20200,160,99.8507449627
15,20200,160,108.283150911
20,20200,160,119.636310101
5,20200,110,92.959580183
10,20200,110,101.914909124
15,20200,110,112.513961077
20,20200,110,121.134034872
5,20200,60,97.4461381435
10,20200,60,113.444750071
15,20200,60,119.750245094
20,20200,60,131.2242589
5,20200,10,108.505066872
10,20200,10,122.857723951
15,20200,10,127.778367043
20,20200,10,143.549216986
5,40200,160,136.412011862
10,40200,160,155.298454046
15,40200,160,180.178900957
5,40200,110,145.702869177
20,40200,160,195.952171087
10,40200,110,161.194977045
15,40200,110,183.964683056
20,40200,110,204.167493105
5,40200,60,145.700459003
10,40200,60,168.584755898
15,40200,60,193.335105896
20,40200,60,208.193763018
5,40200,10,167.580159903
10,40200,10,187.557044983
15,40200,10,222.389497042
20,40200,10,228.360906124
5,60200,160,193.002420902
10,60200,160,214.311382055
15,60200,160,256.153802872
20,60200,160,278.168953896
5,60200,110,201.704857111
10,60200,110,225.345643997
15,60200,110,260.561772108
20,60200,110,296.905638933
5,60200,60,208.771808147
10,60200,60,242.964985132
15,60200,60,280.498175859
20,60200,60,307.837852001
5,60200,10,232.010554075
10,60200,10,272.677117109
15,60200,10,297.660825014
20,60200,10,337.941335917
5,80200,160,254.752565145
10,80200,160,287.864115953
15,80200,160,325.480561972
20,80200,160,369.615046978
5,80200,110,256.810643911
10,80200,110,311.828891993
15,80200,110,339.738984108
20,80200,110,376.158731937
5,80200,60,257.138680935
10,80200,60,302.433787823
15,80200,60,348.317722082
20,80200,60,395.706034899
5,80200,10,302.580091
10,80200,10,370.097436905
15,80200,10,413.857929945
20,80200,10,475.658350229
5,100200,160,297.462089062
10,100200,160,347.19800806
15,100200,160,396.181238174
20,100200,160,455.390341997
5,100200,110,311.59672308
10,100200,110,365.831059933
15,100200,110,423.401952982
20,100200,110,494.799030066
5,100200,60,336.948915958
10,100200,60,398.460180998
15,100200,60,466.714099884
20,100200,60,537.970350027
5,100200,10,391.362080097
10,100200,10,437.581502199
15,100200,10,524.683697939
20,100200,10,602.366055965
5,120200,160,359.968013048
10,120200,160,435.785547972
15,120200,160,506.690373898
20,120200,160,565.346970081
5,120200,110,387.491641998
10,120200,110,449.243423939
15,120200,110,647.065822124
20,120200,110,575.421401024
5,120200,60,389.455651045
10,120200,60,482.838589907
15,120200,60,580.819087029
20,120200,60,656.868342876
5,120200,10,470.742336988
10,120200,10,546.410929918
15,120200,10,640.695018053
20,120200,10,788.827161074
