In0.points,k,execTime
10000,4,64.53
10000,4,65.019
10000,4,63.805
20000,4,73.348
20000,4,78.3
20000,4,75.635
30000,4,75.452
30000,4,79.966
30000,4,78.388
40000,4,79.939
40000,4,81.92
40000,4,78.378
50000,4,82.262
50000,4,87.371
50000,4,86.62
60000,4,96.031
60000,4,97.218
60000,4,96.088
70000,4,108.545
70000,4,124.146
70000,4,101.956
80000,4,111.076
80000,4,112.21
80000,4,113.383
90000,4,113.84
90000,4,117.488
90000,4,117.608
100000,4,117.85
100000,4,125.175
100000,4,123.07
10000,8,68.829
10000,8,69.046
10000,8,68.174
20000,8,89.692
20000,8,76.423
20000,8,78.151
30000,8,83.454
30000,8,82.005
30000,8,73.456
40000,8,87.152
40000,8,84.896
40000,8,91.218
50000,8,83.316
50000,8,84.079
50000,8,84.043
60000,8,100.589
60000,8,103.636
60000,8,100.065
70000,8,116.032
70000,8,115.484
70000,8,113.029
80000,8,116.496
80000,8,121.318
80000,8,116.793
90000,8,123.56
90000,8,122.903
90000,8,121.101
100000,8,127.051
100000,8,129.249
100000,8,137.599
10000,12,73.155
10000,12,76.62
10000,12,73.395
20000,12,86.239
20000,12,90.922
20000,12,94.689
30000,12,91.927
30000,12,88.687
30000,12,86.546
40000,12,100.182
40000,12,89.319
40000,12,92.429
50000,12,93.621
50000,12,101.238
50000,12,96.406
60000,12,123.909
60000,12,122.545
60000,12,125.28
70000,12,140.609
70000,12,135.387
70000,12,131.198
80000,12,136.048
80000,12,140.018
80000,12,133.147
90000,12,141.762
90000,12,150.85
90000,12,151.293
100000,12,154.847
100000,12,147.411
100000,12,151.908
10000,16,79.45
10000,16,77.497
10000,16,82.495
20000,16,93.768
20000,16,97.049
20000,16,90.224
30000,16,88.735
30000,16,91.212
30000,16,89.688
40000,16,96.125
40000,16,99.089
40000,16,101.122
50000,16,96.744
50000,16,106.736
50000,16,97.454
60000,16,120.911
60000,16,120.52
60000,16,123.087
70000,16,141.314
70000,16,145.278
70000,16,161.846
80000,16,136.82
80000,16,137.403
80000,16,138.6
90000,16,142.52
90000,16,146.12
90000,16,144.414
100000,16,173.96
100000,16,157.842
100000,16,150.708
10000,20,84.429
10000,20,80.408
10000,20,83.153
20000,20,101.432
20000,20,101.496
20000,20,92.257
30000,20,104.081
30000,20,99.878
30000,20,98.73
40000,20,103.738
40000,20,112.259
40000,20,105.738
50000,20,103.628
50000,20,104.008
50000,20,107.711
60000,20,138.431
60000,20,132.571
60000,20,130.12
70000,20,154.061
70000,20,163.737
70000,20,161.586
80000,20,146.351
80000,20,155.974
80000,20,152.351
90000,20,161.46
90000,20,160.899
90000,20,166.902
100000,20,167.074
100000,20,163.037
100000,20,169.974
