nodes	size	time
2	50	150.36
2	60	179.37
2	70	203.13
2	80	227.54
2	90	251.35
2	100	282.36
3	50	132.07
3	60	152
3	70	164.2
3	80	185.05
3	90	206.44
3	100	225.01
4	50	136.59
4	60	151.42
4	70	182.18
4	80	201.16
4	90	210.94
4	100	212.2
5	50	110.76
5	60	128.25
5	70	137.91
5	80	155.01
5	90	171.6
5	100	201.48
6	50	131.57
6	60	139.21
6	70	137.22
6	80	160.98
6	90	173.85
6	100	192.67
7	50	117.93
7	60	117.29
7	70	138.51
7	80	135.82
7	90	149.71
7	100	161.05
8	50	99.23
8	60	113.79
8	70	116.49
8	80	128.29
8	90	143.96
8	100	150.08
9	50	117.25
9	60	126.02
9	70	126.85
9	80	132.94
9	90	146.7
9	100	157.02
10	50	108.33
10	60	113.73
10	70	129.21
10	80	135.06
10	90	141.07
10	100	155.86
