nodes	cores	size	time
2	1	50	72.85
2	1	100	104.18
2	1	200	170.26
2	1	300	231.14
2	1	400	330.82
2	1	500	433.18
2	2	50	62.31
2	2	100	100.08
2	2	200	160.17
2	2	300	208.66
2	2	400	215.29
2	2	500	256.29
2	4	50	59.83
2	4	100	86.61
2	4	200	116.28
2	4	300	143.34
2	4	400	167.66
2	4	500	167.67
3	1	50	71.68
3	1	100	102.34
3	1	200	158.03
3	1	300	203.21
3	1	400	293.93
3	1	500	335.75
3	2	50	65.17
3	2	100	89.54
3	2	200	134.27
3	2	300	170.84
3	2	400	225.22
3	2	500	248.06
3	4	50	62.92
3	4	100	77.94
3	4	200	113.98
3	4	300	137.86
3	4	400	179.19
3	4	500	194.28
4	1	50	72.92
4	1	100	101.41
4	1	200	155.94
4	1	300	198.14
4	1	400	276.96
4	1	500	315.42
4	2	50	70.94
4	2	100	93.67
4	2	200	129.78
4	2	300	156.62
4	2	400	229.34
4	2	500	291.94
4	4	50	62.92
4	4	100	86.4
4	4	200	167.14
4	4	300	181.56
4	4	400	206.63
4	4	500	210.55
5	1	50	79.97
5	1	100	104.85
5	1	200	158.75
5	1	300	191.36
5	1	400	248.51
5	1	500	309.64
5	2	50	82.52
5	2	100	121.21
5	2	200	124
5	2	300	146.43
5	2	400	201.04
5	2	500	222.33
5	4	50	62.59
5	4	100	93.35
5	4	200	121.52
5	4	300	143.37
5	4	400	188.8
5	4	500	209.52
6	1	50	74.67
6	1	100	104.7
6	1	200	154.36
6	1	300	188.25
6	1	400	265.33
6	1	500	307.3
6	2	50	76.12
6	2	100	92.28
6	2	200	145.12
6	2	300	184.42
6	2	400	206.24
6	2	500	234.22
6	4	50	64.28
6	4	100	78.7
6	4	200	130.35
6	4	300	166.98
6	4	400	208.53
6	4	500	267.85
7	1	50	76.11
7	1	100	102.01
7	1	200	155.06
7	1	300	183.82
7	1	400	280.67
7	1	500	296.98
7	2	50	79.87
7	2	100	105.24
7	2	200	164.95
7	2	300	218.87
7	2	400	244.47
7	2	500	309.22
7	4	50	76.27
7	4	100	150.9
7	4	200	176.24
7	4	300	208.08
7	4	400	235.58
7	4	500	264.26
8	1	50	79.14
8	1	100	106.02
8	1	200	152.39
8	1	300	188.42
8	1	400	256.33
8	1	500	306.61
8	2	50	79.14
8	2	100	106.02
8	2	200	152.39
8	2	300	188.42
8	2	400	256.33
8	2	500	306.61
8	4	50	79.14
8	4	100	106.02
8	4	200	152.39
8	4	300	188.42
8	4	400	256.33
8	4	500	306.61
9	1	50	76.69
9	1	100	140.8
9	1	200	191.68
9	1	300	233.64
9	1	400	252.88
9	1	500	309.47
9	2	50	79.14
9	2	100	106.02
9	2	200	152.39
9	2	300	188.42
9	2	400	256.33
9	2	500	306.61
9	4	50	79.14
9	4	100	106.02
9	4	200	152.39
9	4	300	188.42
9	4	400	256.33
9	4	500	306.61
10	1	50	99.29
10	1	100	119.46
10	1	200	187.09
10	1	300	242.32
10	1	400	273.78
10	1	500	276.9
10	2	50	71.29
10	2	100	89.37
10	2	200	135.17
10	2	300	150.12
10	2	400	186.66
10	2	500	195.12
10	4	50	64.69
10	4	100	84.75
10	4	200	108.46
10	4	300	168.14
10	4	400	324.45
10	4	500	321.48
