0.05	49.52467	59.39654	55.14054
0.075	43.19403	50.7127	59.76736
0.1	42.51734	49.74204	42.21845
0.125	40.64995	44.53984	76.4555
0.15	36.32597	46.06101	43.51079
0.175	35.62583	44.93867	54.5201
0.2	33.88828	42.43371	45.33322
			
			
			
0.05	13.43379	15.92433	21.96417
0.075	11.67206	13.82019	15.00272
0.1	11.56384	12.14987	21.84934
0.125	11.38247	11.75491	25.39185
0.15	11.02343	11.8628	10.87345
0.175	11.15947	11.72319	12.54275
0.2	11.06018	11.32101	11.51009
			
			
0.05	33.23882	36.04195	35.38423
0.075	32.09049	35.93136	32.55188
0.1	30.98192	34.10292	32.9504
0.125	30.84207	33.69626	31.83417
0.15	29.1335	30.75579	29.90803
0.175	28.54498	30.83311	33.40066
0.2	27.11995	30.22266	29.44469
